timestamp,Temperature,Humidity,Precipitation,Wind_Speed,Wind_Direction
20200804T0000,23.587973,80,0,5.068606,356.98724
20200804T0100,23.467972,78,0,5.5943995,360
20200804T0200,23.497972,78,0,4.552245,339.44397
20200804T0300,23.507973,78,0,3.8420756,326.30994
20200804T0400,22.997972,81,0,3.1067312,329.03625
20200804T0500,22.747972,83,0,2.9784424,349.69516
20200804T0600,24.747972,88,2.2,3.5039446,8.74614
20200804T0700,25.217972,88,2.9,2.8692157,21.801407
20200804T0800,24.777971,90,3.3,2.6372256,44.999985
20200804T0900,24.507973,90,2.2,1.5984001,89.99999
20200804T1000,24.637972,88,0.5,0,180
20200804T1100,26.627972,79,0,1.191377,296.56506
20200804T1200,27.997972,71,0,1.6204481,9.462311
20200804T1300,28.847973,67,0,2.4560866,40.601288
20200804T1400,28.547972,68,0,1.8837326,44.999985
20200804T1500,28.407972,69,0,0.84243083,108.434944
20200804T1600,27.017971,80,0.1,3.996,143.1301
20200804T1700,25.697971,91,0,3.2408962,170.53767
20200804T1800,25.057972,92,0,2.7812977,163.30075
20200804T1900,24.247972,86,0,5.394189,212.90524
20200804T2000,23.837973,87,0,4.3692846,217.5686
20200804T2100,23.777971,86,0.1,2.4560864,257.4712
20200804T2200,23.967972,86,1.3,1.332,270
20200804T2300,23.977972,83,0,0.5956885,63.43495
20200805T0000,24.137972,85,0.6,0.9605189,33.690063
20200805T0100,24.127972,84,0.6,2.7812977,16.69925
20200805T0200,24.197971,84,0.5,3.8142676,12.094757
20200805T0300,23.747972,84,0.2,4.598777,10.00798
20200805T0400,24.077972,84,0.6,4.2624,360
20200805T0500,23.877972,82,0.2,4.270717,356.42368
20200805T0600,24.667973,82,0.7,4.0313635,352.40536
20200805T0700,25.087973,83,1.4,6.2191706,9.865799
20200805T0800,25.737972,82,1.1,6.5795946,21.370605
20200805T0900,26.057972,79,0.8,3.7391024,4.085617
20200805T1000,26.317972,77,0.3,1.332,233.1301
20200805T1100,27.187971,75,0,3.767465,171.8699
20200805T1200,26.327972,77,0,2.8318708,138.81407
20200805T1300,26.437971,75,0,2.8318708,131.18591
20200805T1400,27.437971,73,0,2.1477854,119.74488
20200805T1500,26.787971,72,0,1.9210378,123.69006
20200805T1600,26.667973,78,0.2,3.1968002,180
20200805T1700,25.947971,86,0.4,3.207881,184.76364
20200805T1800,24.837973,93,0.3,2.6772869,185.71059
20200805T1900,24.027971,92,0,0.84243083,161.56505
20200805T2000,23.397972,94,0.5,3.7105224,21.037506
20200805T2100,22.887972,95,1.2,5.9865956,32.275635
20200805T2200,22.427973,95,4,7.1730385,344.93152
20200805T2300,22.237972,91,0,5.986595,339.14557
20200806T0000,22.377972,89,0,5.334656,2.8624115
20200806T0100,22.417973,88,0,5.8608,360
20200806T0200,22.527971,85,0,6.1329885,2.4895477
20200806T0300,22.637972,83,0,6.9263997,360
20200806T0400,22.867971,83,0,6.9263997,360
20200806T0500,22.997972,83,0,7.197732,357.8789
20200806T0600,22.957972,88,0,7.4782047,355.91437
20200806T0700,24.057972,87,0,5.9568853,26.565033
20200806T0800,24.467972,83,0,8.528961,14.470276
20200806T0900,25.347973,79,0,7.7256002,360
20200806T1000,27.807972,70,0,3.8142672,24.775131
20200806T1100,27.047972,72,0.3,2.3976,89.99999
20200806T1200,26.877972,73,0.3,4.212154,71.56504
20200806T1300,26.887972,73,0.3,5.1725526,55.491463
20200806T1400,26.537971,76,0.2,6.66,36.86989
20200806T1500,25.947971,79,0,6.874978,35.53766
20200806T1600,26.247972,74,0,6.723632,33.690063
20200806T1700,25.897972,73,0,6.1329885,34.380325
20200806T1800,24.757973,80,0,3.3697233,18.434952
20200806T1900,23.907972,81,0,4.3038235,201.8014
20200806T2000,23.767971,85,0.4,1.8648,180
20200806T2100,23.407972,92,1.8,2.2761226,69.443954
20200806T2200,22.997972,98,5.5,4.9553266,53.746155
20200806T2300,22.877972,98,10.2,6.287266,53.61563
20200807T0000,22.627972,97,2.9,3.8420756,33.690063
20200807T0100,22.227972,92,0.7,3.7296,360
20200807T0200,22.157972,88,0,4.5600333,353.29016
20200807T0300,21.657972,88,0,4.552245,339.44397
