date,GDP_Per_Capital,Annual_Growth_Rate_percent,Population
1960,82.1886,0,450547679
1961,85.3543,3.85,459642165
1962,89.8818,5.3,469077190
1963,101.1264,12.51,478825608
1964,115.5375,14.25,488848135
1965,119.3189,3.27,499123324
1966,89.9973,-24.57,509631500
1967,96.3391,7.05,520400576
1968,99.876,3.67,531513824
1969,107.6223,7.76,543084336
1970,112.4345,4.47,555189792
1971,118.6032,5.49,567868018
1972,122.9819,3.69,581087256
1973,143.7787,16.91,594770134
1974,163.4781,13.7,608802600
1975,158.0362,-3.33,623102897
1976,161.0921,1.93,637630087
1977,186.2135,15.59,652408776
1978,205.6934,10.46,667499806
1979,224.001,8.9,682995354
1980,266.5778,19.01,698952844
1981,270.4706,1.46,715384993
1982,274.1113,1.35,732239504
1983,291.2381,6.25,749428958
1984,276.668,-5,766833410
1985,296.4352,7.14,784360008
1986,310.4659,4.73,801975244
1987,340.4168,9.65,819682102
1988,354.1493,4.03,837468930
1989,346.1129,-2.27,855334678
1990,367.5566,6.2,873277798
1991,303.0556,-17.55,891273209
1992,316.9539,4.59,909307016
1993,301.159,-4.98,927403860
1994,346.103,14.92,945601831
1995,373.7665,7.99,963922588
1996,399.9501,7.01,982365243
1997,415.4938,3.89,1000900030
1998,413.2989,-0.53,1019483581
1999,441.9988,6.94,1038058156
2000,443.3142,0.3,1056575549
2001,451.573,1.86,1075000085
2002,470.9868,4.3,1093317189
2003,546.7266,16.08,1111523144
2004,627.7742,14.82,1129623456
2005,714.861,13.87,1147609927
2006,806.7533,12.85,1165486291
2007,1028.3348,27.47,1183209472
2008,998.5223,-2.9,1200669765
2009,1101.9608,10.36,1217726215
2010,1357.5637,23.2,1234281170
2011,1458.1035,7.41,1250287943
2012,1443.8795,-0.98,1265780247
2013,1449.6059,0.4,1280842125
2014,1573.8815,8.57,1295600772
2015,1605.6054,2.02,1310152403
2016,1732.5643,7.91,1324517249
2017,1981.651,14.38,1338676785
2018,2005.863,1.22,1352642280
2019,2104.1459,4.9,1366417754
