Date,Open,Close,High,Low,Volume
2015-10-09,4209,4209,4219,4133.5,991854
2015-10-12,4198.5,4180,4206.5,4154,558460
2015-10-13,4172,4141,4187,4116.5,910524
2015-10-14,4110,4061,4110,4052.5,817526
2015-10-15,4081,4117,4130,4073,867805
2015-10-16,4135,4144,4151.5,4043,1158311
2015-10-19,4144,4153,4181.5,4141,1046536
2015-10-20,4142,4028.5,4159,4021.5,1153891
2015-10-21,4014,3946.5,4014,3931,1292327
2015-10-22,3972,4008.5,4018,3952,1327161
2015-10-23,4029.5,4069.5,4096,4004.5,822852
2015-10-26,4080.25,4094.5,4122.5,4064,693926
2015-10-27,4079.5,4081,4109.5,4039.5,691886
2015-10-28,4087.5,4190.5,4199,4087.5,992677
2015-10-29,4169,4190.5,4212,4142.5,708002
2015-10-30,4187.5,4141,4210.5,4136,683142
2015-11-02,4110.5,4155.5,4157,4096,671836
2015-11-03,4180.5,4154.5,4189,4148,581744
2015-11-04,4175,4120,4202,4116,855821
2015-11-05,4190,4249.5,4314,4182.5,1500543
2015-11-06,4257,4222,4260.5,4191.5,981513
2015-11-09,4221,4157.5,4231,4152,741438
2015-11-10,4162,4147,4179,4144.5,698959
2015-11-11,4165,4202.5,4219,4140.5,565755
2015-11-12,4182,4081.5,4182,4078,1001564
2015-11-13,4051,4089,4098.5,4000,989318
2015-11-16,4059,4250,4271.5,4051,1675870
2015-11-17,4265,4393.5,4395,4265,1242181
2015-11-18,4390,4409,4409,4324,1122886
2015-11-19,4416.5,4430,4467,4407.75,1224188
2015-11-20,4438,4498,4500,4433,895708
2015-11-23,4492,4495,4514.5,4470,971252
2015-11-24,4474.5,4466.5,4480,4441,1051273
2015-11-25,4487,4497.5,4504.5,4455,797323
2015-11-26,4500,4521.5,4541.5,4485.5,425072
2015-11-27,4506.5,4517.5,4525,4483,469135
2015-11-30,4508,4505.5,4532.5,4496.5,704959
2015-12-01,4523.5,4521,4542.5,4500.5,796575
2015-12-02,4569.5,4588,4627.5,4555,1126270
2015-12-03,4588,4481.5,4622,4468.5,1400536
2015-12-04,4448,4432,4459.5,4409,1021852
2015-12-07,4429.5,4483,4534,4429.5,567777
2015-12-08,4487.5,4444.5,4516.5,4439,620377
2015-12-09,4444,4411,4461.5,4408.5,745356
2015-12-10,4408.5,4384,4427,4374,856979
2015-12-11,4377.5,4342,4399,4325,1198061
2015-12-14,4340,4284.5,4367,4280,1185280
2015-12-15,4316.5,4394.5,4411.5,4301,645537
2015-12-16,4392.5,4411.5,4448,4378,745859
2015-12-17,4498,4441,4518.5,4430,819537
2015-12-18,4419,4370.5,4433,4366,1173251
2015-12-21,4374.5,4374.5,4435,4367.5,520061
2015-12-22,4389.5,4397,4407,4335,613168
2015-12-23,4438,4515.5,4522,4437.5,564371
2015-12-24,4513,4550,4550.5,4501.5,136432
2015-12-29,4578.5,4615,4617,4556.5,520693
2015-12-30,4618.5,4615.5,4634.5,4598.5,483759
2015-12-31,4627.5,4622.5,4627.5,4594,156975
2016-01-04,4563.25,4470,4564.5,4464,972100
2016-01-05,4498,4561,4577,4457.5,1043527
2016-01-06,4555,4514,4572,4469,877451
2016-01-07,4445,4382,4481,4361.25,1293318
2016-01-08,4397.5,4362,4442,4360,961410
2016-01-11,4337,4260,4348,4260,968345
2016-01-12,4270.5,4318.5,4361.5,4255.5,842507
2016-01-13,4359.5,4395.5,4427,4359.5,940165
2016-01-14,4350.5,4331,4352.5,4249.5,1088094
2016-01-15,4319,4218,4341.5,4181.5,1238796
2016-01-18,4219.5,4213.5,4282.5,4204.5,532133
2016-01-19,4281.5,4305.5,4340.5,4266.25,686284
2016-01-20,4236,4223.5,4258.5,4190.5,948203
2016-01-21,4295.5,4268,4338,4243.5,1460758
2016-01-22,4325,4377.5,4395,4304,1086976
2016-01-25,4392,4444.5,4454.5,4377,1202008
2016-01-26,4352.5,4415,4426,4323,1088330
2016-01-27,4419,4457.5,4472.5,4388,980834
2016-01-28,4430.5,4336.5,4465,4294,1457000
2016-01-29,4383.5,4472.5,4485,4370.5,1135076
2016-02-01,4497,4496,4541.5,4414.5,917826
2016-02-02,4491,4493,4513,4472,1138771
2016-02-03,4473,4412.5,4518.5,4395.5,1513752
2016-02-04,4360,4143,4366.5,4053.5,2574575
2016-02-05,4152,4107.5,4196.5,4096,2371273
2016-02-08,4128,3911.5,4128,3902.5,2437722
2016-02-09,3923,3928,3979.5,3882,1776815
2016-02-10,3954,3999.5,4020,3912.5,1267546
2016-02-11,3981,4001.5,4070.5,3935,1773434
2016-02-12,4018.5,4039.5,4039.5,3979.5,985374
2016-02-15,4113,4167,4175,4093,647230
2016-02-16,4171.5,4177,4196.5,4100.75,1003451
2016-02-17,4197,4277,4296.5,4191,924434
2016-02-18,4301,4125,4301,4089.5,1193434
2016-02-19,4135.5,4069,4139,4056.5,878704
2016-02-22,4117.5,4145,4159.5,4105,609044
2016-02-23,4122.5,4131.5,4170.5,4093.5,591830
2016-02-24,4148,4088,4168.5,4076.5,824528
2016-02-25,4118.5,4206,4208,4118.5,735084
2016-02-26,4242.25,4210,4248,4170.5,630989
2016-02-29,4185,4094.5,4193,4083.5,1001990
2016-03-01,4117.5,4086,4122.5,4043,1120361
2016-03-02,4121,4069,4135.5,4049,1152448
2016-03-03,4088.5,3990,4099,3986,771220
2016-03-04,4031.5,4019,4043.5,3997.5,885423
2016-03-07,4015.5,4012.5,4036,3989.5,636921
2016-03-08,4001,4053.5,4077,3977.5,823052
2016-03-09,4070.5,4081.5,4101.5,4036,605594
2016-03-10,4077.5,4022,4126.5,4017.5,1066316
2016-03-11,4074.5,4040,4098.5,4027,846818
2016-03-14,4063.5,4052,4070.5,4045.5,872968
2016-03-15,4044.5,4027,4059.5,3994,879362
2016-03-16,4018.5,4003,4019.5,3962,801567
2016-03-17,4019.5,3938,4022,3930.5,902907
2016-03-18,3941.5,3894,3965.5,3884.5,723975
2016-03-21,3903,3904,3939,3886.5,893382
2016-03-22,3897,3923,3925,3842,1243416
2016-03-23,3900.5,3953.5,3963,3883,808698
2016-03-24,3930,3920,3939,3897,575422
2016-03-29,3914,3907,3955,3874.5,672684
2016-03-30,3944.5,3913.25,3956.5,3900.25,739487
2016-03-31,3907.5,3902,3925,3893.5,561778
2016-04-01,3867.5,3928.5,3933,3830.5,977304
2016-04-04,3930.5,3968.5,4008,3920.5,629021
2016-04-05,3946.5,3948,3970,3921,855219
2016-04-06,3973,4127.5,4128.5,3966.5,1181622
2016-04-07,4163,4172,4241.5,4157.5,1424764
2016-04-08,4183.5,4143,4191,4123.5,709841
2016-04-11,4149,4075,4149,4071,872998
2016-04-12,4018.5,4053,4058,3992.5,838270
2016-04-13,4094,4094.5,4107,4072.5,734665
2016-04-14,4115,4142,4165.5,4107,577856
2016-04-15,4150,4145,4165.5,4131,605649
2016-04-18,4125,4173,4181,4117,607511
2016-04-19,4167,4161.25,4190.5,4149,958180
2016-04-20,4140,4147,4147.5,4105,681965
2016-04-21,4146,4163,4163,4092.25,774484
2016-04-22,4145,4108.5,4170.5,4101.5,452460
2016-04-25,4122,4082.5,4128,4076.5,555307
2016-04-26,4090,4003.5,4106.5,3999,824679
2016-04-27,3991.5,3991.5,4004.5,3958.5,977406
2016-04-28,3963.5,3964,3972.5,3903,919360
2016-04-29,3949,3941,4080,3933.5,1108693
2016-05-03,3911.5,3914.5,3933,3830.5,1345050
2016-05-04,3902,3826.5,3909.5,3824,1324382
2016-05-05,3834,3801,3865,3800.5,741388
2016-05-06,3801.5,3797,3825.5,3773,1030034
2016-05-09,3822,3945,3954,3819,1203187
2016-05-10,3976.5,3926,3986,3918,816356
2016-05-11,3927.5,3936.5,3951.5,3903,810098
2016-05-12,3902.5,3878.5,3951.5,3874.5,827405
2016-05-13,3854.5,3935.5,3938,3844,920005
2016-05-16,3919,3912.5,3926,3887,935337
2016-05-17,3960.5,3929,3963,3924.5,1045335
2016-05-18,3918,3900.5,3937,3883,922477
2016-05-19,3882.5,3816.5,3885.5,3812,725706
2016-05-20,3839,3894,3897,3836.5,1180343
