SecuritiesCode,EffectiveDate,Name,Section/Products,NewMarketSegment,33SectorCode,33SectorName,17SectorCode,17SectorName,NewIndexSeriesSizeCode,NewIndexSeriesSize,TradeDate,Close,IssuedShares,MarketCapitalization,Universe0
1301,20211230,"KYOKUYO CO.,LTD.",First Section (Domestic),Prime Market,50,"Fishery, Agriculture and Forestry",1,FOODS ,7,TOPIX Small 2,20211230.0,3080.0,10928283.0,33659111640.0,True
1305,20211230,Daiwa ETF-TOPIX,ETFs/ ETNs,,-,-,-,-,-,-,20211230.0,2097.0,3634635625.0,7621830905625.0,False
1306,20211230,NEXT FUNDS TOPIX Exchange Traded Fund,ETFs/ ETNs,,-,-,-,-,-,-,20211230.0,2073.5,7917718452.0,16417389210222.0,False
1308,20211230,Nikko Exchange Traded Index Fund TOPIX,ETFs/ ETNs,,-,-,-,-,-,-,20211230.0,2053.0,3736943486.0,7671944976758.0,False
1309,20211230,NEXT FUNDS ChinaAMC SSE50 Index Exchange Traded Fund,ETFs/ ETNs,,-,-,-,-,-,-,20211230.0,44280.0,72632.0,3216144960.0,False
1311,20211230,NEXT FUNDS TOPIX Core 30 Exchange Traded Fund,ETFs/ ETNs,,-,-,-,-,-,-,20211230.0,1025.0,1926421.0,1974581525.0,False
1312,20211230,NEXT FUNDS Russell/Nomura Small Cap Core Index Exchange Traded Fund,ETFs/ ETNs,,-,-,-,-,-,-,20211230.0,20510.0,110120.0,2258561200.0,False
1313,20211230,SAMSUNG KODEX200 SECURITIES EXCHANGE TRADED FUND [STOCK],ETFs/ ETNs,,-,-,-,-,-,-,20211230.0,3999.0,153300000.0,613046700000.0,False
1319,20211230,NEXT FUNDS Nikkei 300 Index Exchange Traded Fund,ETFs/ ETNs,,-,-,-,-,-,-,20211230.0,365.6,7531270.0,2753432312.0,False
1320,20211230,Daiwa ETF-Nikkei 225,ETFs/ ETNs,,-,-,-,-,-,-,20211230.0,29725.0,128910559.0,3831866366275.0,False
1321,20211230,NEXT FUNDS Nikkei 225 Exchange Traded Fund,ETFs/ ETNs,,-,-,-,-,-,-,20211230.0,29770.0,267573465.0,7965662053050.0,False
1322,20211230,Listed Index Fund China A Share (Panda) E Fund CSI300,ETFs/ ETNs,,-,-,-,-,-,-,20211230.0,8350.0,338500.0,2826475000.0,False
1323,20211230,NEXT FUNDS FTSE/JSE Africa Top40 Linked Exchange Traded Fund,ETFs/ ETNs,,-,-,-,-,-,-,20211230.0,473.0,1014404.0,479813092.0,False
1324,20211230,NEXT FUNDS Russia RTS Linked Exchange Traded Fund,ETFs/ ETNs,,-,-,-,-,-,-,20211230.0,158.9,8663550.0,1376638095.0,False
1325,20211230,NEXT FUNDS Ibovespa Linked Exchange Traded Fund,ETFs/ ETNs,,-,-,-,-,-,-,20211230.0,157.5,13079416.0,2060008020.0,False
1326,20211230,SPDR Gold Shares,ETFs/ ETNs,,-,-,-,-,-,-,20211230.0,19330.0,335700000.0,6489081000000.0,False
1328,20211230,NEXT FUNDS Gold Price Exchange Traded Fund,ETFs/ ETNs,,-,-,-,-,-,-,20211230.0,5226.0,1830958.0,9568586508.0,False
1329,20211230,iShares Core Nikkei 225 ETF,ETFs/ ETNs,,-,-,-,-,-,-,20211230.0,29910.0,31756418.0,949834462380.0,False
1330,20211230,Nikko Exchange Traded Index Fund 225,ETFs/ ETNs,,-,-,-,-,-,-,20211230.0,29775.0,129978294.0,3870103703850.0,False
1332,20211230,"Nippon Suisan Kaisha,Ltd.",First Section (Domestic),Prime Market,50,"Fishery, Agriculture and Forestry",1,FOODS ,4,TOPIX Mid400,20211230.0,543.0,312430277.0,169649640411.0,True
1333,20211230,Maruha Nichiro Corporation,First Section (Domestic),Prime Market,50,"Fishery, Agriculture and Forestry",1,FOODS ,4,TOPIX Mid400,20211230.0,2405.0,52656910.0,126639868550.0,True
